timestamp,gyrx,gyry,gyrz
11:20:17.956,9.17,-16.55,-36.56
11:20:18.103,12.24,-16.91,-39.47
11:20:18.298,11.06,-17.23,-42.73
11:20:18.492,10.58,-18.43,-44.52
11:20:18.687,11.09,-19.01,-45.82
11:20:18.883,10.39,-19.6,-48.16
11:20:19.078,11.62,-18.97,-49.26
11:20:19.273,11.87,-19.1,-51.42
11:20:19.517,11.81,-19.01,-52.61
11:20:19.712,16.99,-23.87,-53.92
11:20:19.907,24.77,-20.17,-51.85
11:20:20.103,25.51,-24.0,-57.8
11:20:20.295,23.78,-23.35,-61.11
11:20:20.496,17.38,-26.41,-64.21
11:20:20.686,18.36,-25.66,-66.75
11:20:20.881,18.72,-24.86,-68.79
11:20:21.077,19.06,-24.98,-70.87
11:20:21.312,18.44,-24.72,-71.92
11:20:21.467,18.77,-24.87,-73.9
11:20:21.681,24.98,-27.68,-78.09
11:20:21.905,27.48,-27.89,-80.4
11:20:22.052,23.34,-29.72,-82.6
11:20:22.247,22.02,-29.12,-85.41
11:20:22.442,21.9,-29.3,-87.25
11:20:22.637,21.94,-28.75,-89.08
11:20:22.833,23.9,-29.25,-90.66
11:20:23.027,29.39,-29.53,-90.63
11:20:23.222,29.75,-29.3,-93.6
11:20:23.417,29.98,-26.53,-93.44
11:20:23.613,28.66,-24.54,-94.82
11:20:23.855,29.32,-24.24,-98.38
11:20:24.050,26.19,-25.88,-100.8
11:20:24.248,25.63,-25.29,-102.52
11:20:24.441,25.12,-23.86,-106.45
11:20:24.637,22.96,-22.9,-108.84
11:20:24.879,23.49,-22.94,-110.19
11:20:25.026,22.55,-23.1,-110.45
11:20:25.222,22.76,-21.82,-111.57
11:20:25.415,22.14,-22.45,-113.01
11:20:25.660,23.35,-22.57,-116.68
11:20:25.806,22.36,-23.14,-118.21
11:20:26.050,23.6,-22.3,-120.09
11:20:26.196,26.89,-22.32,-124.98
11:20:26.391,23.77,-6.87,-130.04
11:20:26.587,9.14,-19.37,-147.47
11:20:26.829,12.75,-12.84,-142.8
11:20:26.976,33.13,-4.21,-143.84
11:20:27.219,43.72,1.61,-141.08
11:20:27.365,53.96,-1.08,-136.06
11:20:27.561,54.6,3.79,-129.43
11:20:27.758,55.44,7.73,-122.13
11:20:27.950,54.69,5.41,-126.58
11:20:28.195,54.97,4.61,-128.86
11:20:28.389,50.28,1.77,-136.75
11:20:28.584,49.62,2.61,-140.05
11:20:28.780,50.25,0.37,-147.17
